pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,node_risk,tx_ms,rx_ms,recv_count,lost_count,rssi,src_mac,source_mode
1784521910.685538,cane,4125577512,7038,0,37.0,127.0,0.0,0.0,0,719677,7288908,48006,90105,-36,30:76:F5:E7:51:28,test
1784521910.7874706,cane,4125577512,7039,0,37.0,127.0,0.0,0.0,0,719779,7289010,48007,90105,-35,30:76:F5:E7:51:28,test
1784521910.889795,cane,4125577512,7040,0,37.0,127.0,0.0,0.0,0,719881,7289113,48008,90105,-36,30:76:F5:E7:51:28,test
1784521910.9913855,cane,4125577512,7041,0,37.0,127.0,0.0,0.0,0,719983,7289214,48009,90105,-36,30:76:F5:E7:51:28,test
1784521911.0934207,cane,4125577512,7042,0,37.0,127.0,0.0,0.0,0,720085,7289316,48010,90105,-37,30:76:F5:E7:51:28,test
1784521911.195534,cane,4125577512,7043,0,37.0,127.0,0.0,0.0,0,720187,7289418,48011,90105,-38,30:76:F5:E7:51:28,test
1784521911.2974153,cane,4125577512,7044,0,37.0,127.0,0.0,0.0,0,720289,7289520,48012,90105,-41,30:76:F5:E7:51:28,test
1784521911.3994012,cane,4125577512,7045,0,37.0,127.0,0.0,0.0,0,720391,7289622,48013,90105,-38,30:76:F5:E7:51:28,test
1784521911.501388,cane,4125577512,7046,0,37.0,127.0,0.0,0.0,0,720493,7289724,48014,90105,-38,30:76:F5:E7:51:28,test
1784521911.6033893,cane,4125577512,7047,0,37.0,127.0,0.0,0.0,0,720595,7289826,48015,90105,-37,30:76:F5:E7:51:28,test
1784521911.7054186,cane,4125577512,7048,0,37.0,127.0,0.0,0.0,0,720697,7289928,48016,90105,-38,30:76:F5:E7:51:28,test
1784521911.8074293,cane,4125577512,7049,0,37.0,127.0,0.0,0.0,0,720799,7290030,48017,90105,-37,30:76:F5:E7:51:28,test
1784521911.9093835,cane,4125577512,7050,0,37.0,127.0,0.0,0.0,0,720901,7290132,48018,90105,-41,30:76:F5:E7:51:28,test
1784521912.0113876,cane,4125577512,7051,0,37.0,127.0,0.0,0.0,0,721003,7290234,48019,90105,-37,30:76:F5:E7:51:28,test
1784521912.1134348,cane,4125577512,7052,0,37.0,127.0,0.0,0.0,0,721105,7290336,48020,90105,-40,30:76:F5:E7:51:28,test
