ts_ms,timestep_time,vehicle_id,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,ttc_valid,risk_score,zone_base_risk,dx,dy,dvx,dvy,dcpa_m,phys_min_dist_3s,phys_t_cpa,phys_score_3s,onnx_risk_level,onnx_confidence
54000,54.0,campus_7,3554.17,1508.84,3742.03,1637.21,1.0,4.6,227.5307374839718,2.9552577521813532,30.0,1.0,3.0,0.0,187.86000000000013,128.37000000000012,-1.0,-3.7499999999997726,148.44074130105776,218.83855693181727,3.0,28.0,0,0.9759413
55000,55.0,campus_7,3554.75,1507.98,3741.64,1633.05,1.04,4.17,224.8785827952496,2.6521546887221916,30.0,1.0,3.0,0.0,186.88999999999987,125.06999999999994,-0.9700000000002547,-3.300000000000182,144.0336128033554,217.05476106273164,3.0,28.0,0,0.97904646
56000,56.0,campus_7,3555.38,1507.05,3741.26,1628.97,1.12,4.1,222.29678540185878,2.581797393390815,30.0,1.0,3.0,0.0,185.8800000000001,121.92000000000007,-1.0099999999997635,-3.1499999999998636,139.77883242606967,214.67096543314935,3.0,28.0,0,0.97898567
57000,57.0,campus_7,3555.99,1506.15,3740.8,1624.04,1.09,4.95,219.20946193082113,3.0873234710376494,30.0,1.0,3.0,0.0,184.8100000000004,117.88999999999987,-1.069999999999709,-4.0300000000002,148.36862145471625,210.1718344593307,3.0,28.0,0,0.97167915
58000,58.0,campus_7,3556.61,1505.22,3740.37,1619.52,1.12,4.54,216.40754977587983,2.8019121549413057,30.0,1.0,3.0,0.0,183.75999999999976,114.29999999999995,-1.0500000000006366,-3.589999999999918,144.2849023599067,208.17884858937822,3.0,28.0,0,0.9750725
59000,59.0,campus_7,3557.24,1504.3,3739.98,1615.37,1.12,4.17,213.84679679621127,2.560752979668564,30.0,1.0,3.0,0.0,182.74000000000024,111.06999999999994,-1.019999999999527,-3.230000000000018,140.81103518986157,206.30755390920754,3.0,28.0,0,0.9774735
60000,60.0,campus_7,3557.81,1503.45,3739.62,1611.45,1.02,3.94,211.46838085160624,2.378415944605024,30.0,1.0,3.0,0.0,181.80999999999995,108.0,-0.930000000000291,-3.0699999999999363,142.68991897744013,204.4691284766473,3.0,28.0,0,0.97841084
61000,61.0,campus_7,3558.47,1502.48,3739.16,1606.59,1.17,4.88,208.5372105884223,2.9311702631839296,30.0,1.0,3.0,0.0,180.69000000000005,104.1099999999999,-1.1199999999998909,-3.8900000000001,144.83137196576308,199.9777050073334,3.0,28.0,0,0.97404486
62000,62.0,campus_7,3559.16,1501.46,3738.78,1602.53,1.23,4.08,206.1031035671227,2.43410702129961,30.0,1.0,3.0,0.0,179.62000000000035,101.06999999999994,-1.069999999999709,-3.0399999999999636,135.87521155850544,198.9353930299997,3.0,28.0,0,0.98084074
63000,63.0,campus_7,3559.75,1500.59,3738.39,1598.36,1.05,4.19,203.64484402999244,2.4582595371302602,30.0,1.0,3.0,0.0,178.63999999999987,97.76999999999998,-0.9800000000004729,-3.2999999999999545,143.41492005280764,196.4475169097321,3.0,28.0,0,0.97872764
64000,64.0,campus_7,3560.31,1499.76,3737.99,1594.12,1.0,4.26,201.18149020225476,2.463353827737677,30.0,1.0,3.0,0.0,177.67999999999984,94.3599999999999,-0.9600000000000364,-3.410000000000082,145.4608655053523,193.99200215472763,3.0,28.0,0,0.9773719
65000,65.0,campus_7,3560.97,1498.79,3737.56,1589.5,1.18,4.64,198.52539434540876,2.656095856846008,30.0,1.0,3.0,0.0,176.59000000000015,90.71000000000004,-1.0899999999996908,-3.6499999999998636,143.25013269313783,190.7917188978611,3.0,28.0,0,0.9744465
66000,66.0,campus_7,3561.57,1497.9,3737.1,1584.56,1.07,4.96,195.75683002133,2.768564324078767,30.0,1.0,3.0,0.0,175.52999999999975,86.65999999999985,-1.0600000000004002,-4.050000000000182,147.86789650318673,187.76651085856443,3.0,28.0,0,0.96721864
67000,67.0,campus_7,3562.16,1497.02,3736.69,1580.27,1.06,4.31,193.36825851209414,2.3885715092358453,30.0,1.0,3.0,0.0,174.5300000000002,83.25,-0.9999999999995453,-3.4099999999998545,144.0501890893945,186.42548457762044,3.0,28.0,0,0.9750275
68000,68.0,campus_7,3562.77,1496.13,3736.25,1575.51,1.07,4.78,190.77865394220598,2.5896045698881665,30.0,1.0,3.0,0.0,173.48000000000002,79.37999999999988,-1.050000000000182,-3.8700000000001182,146.64124669590677,183.31688902007846,3.0,28.0,0,0.9677119
69000,69.0,campus_7,3563.44,1495.14,3735.81,1570.78,1.2,4.75,188.23609244775548,2.5425614944504957,30.0,1.0,3.0,0.0,172.3699999999999,75.63999999999987,-1.1100000000001273,-3.740000000000009,143.72428062717864,180.8990270841715,3.0,28.0,0,0.9686095
70000,70.0,campus_7,3564.02,1494.28,3735.39,1566.39,1.05,4.41,185.92344930104966,2.312643146705824,30.0,1.0,3.0,0.0,171.3699999999999,72.11000000000013,-1.0,-3.5299999999997453,145.22735952624745,179.25726568259395,3.0,28.0,0,0.9708199
71000,71.0,campus_7,3564.7,1493.28,3734.96,1561.8,1.2,4.61,183.53053696864745,2.3929123324022044,30.0,1.0,3.0,0.0,170.26000000000022,68.51999999999998,-1.1099999999996726,-3.5900000000001455,142.42176627227653,176.63716313392362,3.0,28.0,0,0.9689427
72000,72.0,campus_7,3565.28,1492.41,3734.54,1557.31,1.04,4.51,181.2759156644917,2.254621304155762,30.0,1.0,3.0,0.0,169.25999999999976,64.89999999999986,-1.0000000000004547,-3.6200000000001182,145.86850331094143,174.8219356945787,3.0,28.0,0,0.9672395
73000,73.0,campus_7,3565.93,1491.46,3734.17,1553.32,1.16,4.01,179.25221672269515,2.023698941796539,30.0,1.0,3.0,0.0,168.24000000000024,61.8599999999999,-1.019999999999527,-3.0399999999999636,139.82367066493,173.3953286568025,3.0,28.0,0,0.97505885
74000,74.0,campus_7,3566.59,1490.49,3733.8,1549.33,1.17,4.01,177.2606264797685,1.9915902429266623,30.0,1.0,3.0,0.0,167.21000000000004,58.83999999999992,-1.0300000000002,-3.019999999999982,139.2650491953902,171.50341920789745,3.0,28.0,0,0.9747113
