timestep_time;person_angle;person_edge;person_id;person_pos;person_slope;person_speed;person_type;person_x;person_y
79.0;317.94;278148191#2;3.0;23.71;0.0;1.39;DEFAULT_PEDTYPE;3549.44;1412.1
79.0;145.9;612099146#6;2.0;10.51;0.0;1.06;DEFAULT_PEDTYPE;3569.78;1485.78
80.0;327.95;-220064934#5;4.0;0.0;0.0;0.0;DEFAULT_PEDTYPE;3775.97;1223.53
80.0;313.64;278148191#2;3.0;22.31;0.0;1.41;DEFAULT_PEDTYPE;3548.53;1413.04
80.0;145.9;612099146#6;2.0;9.28;0.0;1.23;DEFAULT_PEDTYPE;3570.46;1484.76
81.0;327.95;-220064934#5;4.0;1.44;0.0;1.44;DEFAULT_PEDTYPE;3775.21;1224.74
81.0;313.64;278148191#2;3.0;20.82;0.0;1.49;DEFAULT_PEDTYPE;3547.45;1414.07
81.0;145.9;612099146#6;2.0;8.11;0.0;1.17;DEFAULT_PEDTYPE;3571.12;1483.79
82.0;327.95;-220064934#5;4.0;2.93;0.0;1.49;DEFAULT_PEDTYPE;3774.42;1226.01
82.0;313.64;278148191#2;3.0;19.31;0.0;1.5;DEFAULT_PEDTYPE;3546.36;1415.11
82.0;145.9;612099146#6;2.0;7.05;0.0;1.06;DEFAULT_PEDTYPE;3571.72;1482.91
83.0;327.95;-220064934#5;4.0;4.3;0.0;1.37;DEFAULT_PEDTYPE;3773.69;1227.17
83.0;313.64;278148191#2;3.0;17.72;0.0;1.6;DEFAULT_PEDTYPE;3545.2;1416.21
83.0;145.9;612099146#6;2.0;5.94;0.0;1.11;DEFAULT_PEDTYPE;3572.34;1482.0
84.0;327.95;-220064934#5;4.0;5.79;0.0;1.49;DEFAULT_PEDTYPE;3772.9;1228.43
84.0;313.64;278148191#2;3.0;16.22;0.0;1.5;DEFAULT_PEDTYPE;3544.12;1417.24
84.0;145.9;612099146#6;2.0;4.79;0.0;1.15;DEFAULT_PEDTYPE;3572.98;1481.04
85.0;327.95;-220064934#5;4.0;7.17;0.0;1.39;DEFAULT_PEDTYPE;3772.17;1229.6
85.0;313.2;278148191#2;3.0;14.7;0.0;1.52;DEFAULT_PEDTYPE;3543.02;1418.28
85.0;145.9;612099146#6;2.0;3.65;0.0;1.14;DEFAULT_PEDTYPE;3573.62;1480.1
86.0;327.95;-220064934#5;4.0;8.53;0.0;1.35;DEFAULT_PEDTYPE;3771.45;1230.75
86.0;313.2;278148191#2;3.0;13.31;0.0;1.39;DEFAULT_PEDTYPE;3542.01;1419.23
86.0;145.9;612099146#6;2.0;2.55;0.0;1.1;DEFAULT_PEDTYPE;3574.24;1479.19
87.0;327.95;-220064934#5;4.0;9.99;0.0;1.46;DEFAULT_PEDTYPE;3770.68;1231.98
87.0;313.2;278148191#2;3.0;11.83;0.0;1.48;DEFAULT_PEDTYPE;3540.93;1420.24
87.0;145.9;612099146#6;2.0;1.52;0.0;1.03;DEFAULT_PEDTYPE;3574.82;1478.33
88.0;327.95;-220064934#5;4.0;11.36;0.0;1.37;DEFAULT_PEDTYPE;3769.95;1233.15
88.0;313.2;278148191#2;3.0;10.22;0.0;1.61;DEFAULT_PEDTYPE;3539.76;1421.34
88.0;145.9;612099146#6;2.0;0.33;0.0;1.18;DEFAULT_PEDTYPE;3575.48;1477.35
89.0;145.9;:11413637556_w0;2.0;3.88;0.0;1.01;DEFAULT_PEDTYPE;3575.75;1476.31
89.0;327.95;-220064934#5;4.0;12.68;0.0;1.32;DEFAULT_PEDTYPE;3769.25;1234.26
89.0;318.35;278148191#2;3.0;8.52;0.0;1.7;DEFAULT_PEDTYPE;3538.54;1422.68
90.0;196.1;:11413637556_w0;2.0;2.88;0.0;1.0;DEFAULT_PEDTYPE;3575.62;1476.27
90.0;327.95;-220064934#5;4.0;14.06;0.0;1.38;DEFAULT_PEDTYPE;3768.52;1235.43
90.0;318.35;278148191#2;3.0;6.87;0.0;1.65;DEFAULT_PEDTYPE;3537.44;1423.91
91.0;196.1;:11413637556_w0;2.0;1.72;0.0;1.16;DEFAULT_PEDTYPE;3575.3;1475.15
91.0;327.95;-220064934#5;4.0;15.47;0.0;1.41;DEFAULT_PEDTYPE;3767.77;1236.62
91.0;318.35;278148191#2;3.0;5.47;0.0;1.4;DEFAULT_PEDTYPE;3536.51;1424.96
92.0;142.95;:11413637556_w0;2.0;0.6;0.0;1.12;DEFAULT_PEDTYPE;3575.54;1473.23
92.0;327.95;-220064934#5;4.0;16.94;0.0;1.47;DEFAULT_PEDTYPE;3766.99;1237.86
92.0;318.35;278148191#2;3.0;3.94;0.0;1.53;DEFAULT_PEDTYPE;3535.49;1426.1
93.0;142.95;:11413637556_c0;2.0;5.79;0.0;1.21;DEFAULT_PEDTYPE;3576.27;1472.26
93.0;327.95;-220064934#5;4.0;18.24;0.0;1.31;DEFAULT_PEDTYPE;3766.3;1238.97
93.0;318.35;278148191#2;3.0;2.57;0.0;1.37;DEFAULT_PEDTYPE;3534.58;1427.13
94.0;142.95;:11413637556_c0;2.0;4.64;0.0;1.15;DEFAULT_PEDTYPE;3576.96;1471.35
94.0;327.95;-220064934#5;4.0;19.71;0.0;1.46;DEFAULT_PEDTYPE;3765.53;1240.21
94.0;318.35;278148191#2;3.0;1.01;0.0;1.57;DEFAULT_PEDTYPE;3533.54;1428.3
95.0;142.95;:11413637556_c0;2.0;3.51;0.0;1.12;DEFAULT_PEDTYPE;3577.64;1470.45
95.0;318.35;:2825723289_w1;3.0;8.8;0.0;1.63;DEFAULT_PEDTYPE;3532.76;1429.78
95.0;327.95;-220064934#5;4.0;21.11;0.0;1.4;DEFAULT_PEDTYPE;3764.78;1241.39
96.0;142.95;:11413637556_c0;2.0;2.3;0.0;1.22;DEFAULT_PEDTYPE;3578.37;1469.48
96.0;61.77;:2825723289_w1;3.0;7.27;0.0;1.53;DEFAULT_PEDTYPE;3532.43;1431.67
96.0;329.59;-220064934#5;4.0;22.54;0.0;1.43;DEFAULT_PEDTYPE;3764.04;1242.6
97.0;142.95;:11413637556_c0;2.0;1.09;0.0;1.21;DEFAULT_PEDTYPE;3579.09;1468.52
97.0;39.08;:2825723289_w1;3.0;5.73;0.0;1.54;DEFAULT_PEDTYPE;3533.4;1432.86
97.0;329.59;-220064934#5;4.0;23.85;0.0;1.31;DEFAULT_PEDTYPE;3763.38;1243.73
98.0;142.95;:11413637556_c0;2.0;0.09;0.0;1.0;DEFAULT_PEDTYPE;3579.69;1467.73
98.0;39.08;:2825723289_w1;3.0;4.08;0.0;1.65;DEFAULT_PEDTYPE;3534.44;1434.14
98.0;329.59;-220064934#5;4.0;25.17;0.0;1.32;DEFAULT_PEDTYPE;3762.71;1244.87
99.0;94.98;:11413637556_w1;2.0;3.22;0.0;1.15;DEFAULT_PEDTYPE;3581.16;1466.46
99.0;39.08;:2825723289_w1;3.0;2.65;0.0;1.43;DEFAULT_PEDTYPE;3535.34;1435.25
99.0;329.59;-220064934#5;4.0;26.61;0.0;1.44;DEFAULT_PEDTYPE;3761.99;1246.1
100.0;94.98;:11413637556_w1;2.0;2.05;0.0;1.17;DEFAULT_PEDTYPE;3582.32;1466.36
100.0;44.97;:2825723289_w1;3.0;0.96;0.0;1.69;DEFAULT_PEDTYPE;3536.5;1436.51
100.0;329.59;-220064934#5;4.0;28.08;0.0;1.48;DEFAULT_PEDTYPE;3761.24;1247.38
100.0;328.19;220064934#6;5.0;0.0;0.0;0.0;DEFAULT_PEDTYPE;3768.44;1207.77
101.0;142.82;:11413637556_w1;2.0;0.86;0.0;1.19;DEFAULT_PEDTYPE;3582.72;1466.58
101.0;328.19;:4620932573_w1;5.0;8.29;0.0;1.07;DEFAULT_PEDTYPE;3768.18;1208.87
101.0;44.97;-1450884426#2;3.0;0.4;0.0;1.37;DEFAULT_PEDTYPE;3537.15;1437.78
101.0;329.59;-220064934#5;4.0;29.4;0.0;1.32;DEFAULT_PEDTYPE;3760.58;1248.51
102.0;328.21;:4620932573_w1;5.0;7.22;0.0;1.06;DEFAULT_PEDTYPE;3767.62;1209.77
102.0;44.97;-1450884426#2;3.0;1.8;0.0;1.4;DEFAULT_PEDTYPE;3538.1;1438.74
102.0;329.59;-220064934#5;4.0;30.9;0.0;1.5;DEFAULT_PEDTYPE;3759.82;1249.8
102.0;142.82;612099146#5;2.0;59.63;0.0;1.22;DEFAULT_PEDTYPE;3583.74;1465.82
