pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786533858.18,3588,1,1,1,0,1,heartbeat,0,5.73,-0.13,9999.0,30.0,1,table,0.0002,table,1,37.496426,126.957642,0.039,0.0,1,0.062,0.0
1786533859.225,3598,1,1,1,0,1,heartbeat,0,5.85,-0.12,9999.0,30.0,1,table,0.0001,table,1,37.496426,126.957649,0.022,0.0,1,0.045,0.0
1786533860.27,3608,1,1,1,0,1,heartbeat,0,5.17,0.3,17.14,33.0,1,table,0.0,table,1,37.496429,126.957649,0.015,0.0,1,0.04,0.0
1786533861.316,3618,1,1,1,0,1,heartbeat,0,4.97,0.22,22.14,33.0,1,table,0.0002,table,1,37.496429,126.957649,0.033,0.0,1,0.046,0.0
1786533862.354,3628,1,1,1,0,1,heartbeat,0,5.16,-0.04,9999.0,30.0,1,table,0.0001,table,1,37.496429,126.957657,0.024,0.0,1,0.046,0.0
1786533863.403,3638,1,1,1,0,1,heartbeat,0,5.22,0.02,346.04,18.74,0,table,0.0005,table,1,37.496429,126.957657,0.04,0.0,1,0.041,0.0
1786533864.456,3649,1,1,1,0,1,heartbeat,0,4.75,0.25,19.19,33.0,1,table,0.0007,table,1,37.496429,126.957657,0.056,0.0,1,0.033,0.0
1786533865.497,3659,1,1,1,0,1,heartbeat,0,4.95,-0.03,9999.0,30.0,1,table,0.0001,table,1,37.496429,126.957664,0.09,0.0,1,0.024,0.0
1786533866.543,3669,1,1,1,0,1,heartbeat,0,5.15,-0.11,9999.0,30.0,1,table,0.0001,table,1,37.496429,126.957664,0.08,0.0,1,0.015,0.0
1786533867.587,3679,1,1,1,0,1,heartbeat,0,5.18,-0.06,9999.0,30.0,1,table,0.0003,table,1,37.496429,126.957664,0.061,0.0,1,0.01,0.0
1786533868.631,3689,1,1,1,0,1,heartbeat,0,5.55,-0.25,9999.0,30.0,1,table,0.0001,table,1,37.496429,126.957672,0.053,0.0,1,0.013,0.0
1786533869.633,3698,1,1,1,0,1,heartbeat,0,5.41,0.01,912.83,20.68,1,table,0.0003,table,1,37.496429,126.957672,0.038,0.0,1,0.011,0.0
1786533870.679,3708,1,1,1,0,1,heartbeat,0,5.15,0.13,40.18,25.55,1,table,0.0012,table,1,37.496429,126.957672,0.019,0.0,1,0.024,0.0
1786533871.731,3718,1,1,1,0,1,heartbeat,0,5.36,-0.05,9999.0,30.0,1,table,0.0001,table,1,37.496433,126.95768,0.022,0.0,1,0.045,0.0
1786533872.777,3728,1,1,1,0,1,heartbeat,0,5.37,-0.03,9999.0,30.0,1,table,0.0001,table,1,37.496437,126.95768,0.013,0.0,1,0.036,0.0
1786533873.825,3738,1,1,1,0,1,heartbeat,0,5.34,-0.0,9999.0,30.0,1,table,0.0,table,1,37.496437,126.95768,0.018,0.0,1,0.043,0.0
1786533874.886,3748,1,1,1,0,1,heartbeat,0,5.71,-0.22,9999.0,30.0,1,table,0.0001,table,1,37.496441,126.95768,0.019,0.0,1,0.037,0.0
1786533875.927,3759,1,1,1,0,1,heartbeat,0,5.74,-0.13,9999.0,30.0,1,table,0.0001,table,1,37.496441,126.95768,0.017,0.0,1,0.037,0.0
1786533876.978,3769,1,1,1,0,1,heartbeat,0,5.58,0.04,153.7,17.02,0,table,0.0,table,1,37.496445,126.95768,0.027,0.0,1,0.037,0.0
1786533880.227,3800,1,1,0,0,1,heartbeat,0,15.09,-5.84,9999.0,25.0,1,table,0.0004,table,1,37.496441,126.95768,0.013,0.0,1,0.118,0.0
1786533881.248,3810,1,1,1,0,1,heartbeat,0,17.4,-3.76,9999.0,25.0,1,table,0.0001,table,1,37.496441,126.95768,0.023,0.0,1,0.118,0.0
1786533882.293,3820,1,1,1,0,1,heartbeat,0,16.14,-0.91,9999.0,25.0,1,table,0.0004,table,1,37.496441,126.95768,0.021,0.0,1,0.08,0.0
1786533883.342,3830,1,1,1,0,1,heartbeat,0,15.46,-0.08,9999.0,25.0,1,table,0.0001,table,1,37.496437,126.95768,0.023,0.0,1,0.08,0.0
1786533886.284,3858,1,1,1,0,1,heartbeat,0,15.87,-0.17,9999.0,25.0,1,table,0.0002,table,1,37.496433,126.95768,0.03,0.0,1,0.123,0.0
1786533887.303,3868,1,1,1,0,1,heartbeat,0,15.68,0.0,6320.74,5.6,0,table,0.0042,table,1,37.496429,126.95768,0.04,0.0,1,0.123,0.0
1786533898.255,3973,1,1,0,0,1,heartbeat,0,10.73,-1.03,9999.0,25.0,1,table,0.0004,table,1,37.49641,126.95768,0.036,0.0,1,0.017,0.0
1786533904.78,4035,1,1,0,0,1,heartbeat,0,5.51,0.11,50.69,17.12,0,table,0.0008,table,1,37.49641,126.957672,0.051,0.0,1,0.026,0.0
1786533911.122,4095,1,1,0,0,1,heartbeat,0,2.91,-3.18,9999.0,30.0,1,table,0.0001,table,1,37.496414,126.957657,0.033,0.0,1,0.046,0.0
1786533912.163,4106,1,1,1,0,1,heartbeat,0,3.71,-1.33,9999.0,30.0,1,table,0.0001,table,1,37.496418,126.957657,0.029,0.0,1,0.053,0.0
1786533925.698,4236,1,1,0,0,1,heartbeat,0,11.73,-0.07,9999.0,25.0,1,table,0.0147,table,1,37.496429,126.957626,0.037,0.0,1,0.033,0.0
1786533926.415,4243,2,2,1,0,1,change,0,11.71,0.02,667.25,5.6,0,table,0.3138,model,1,37.496433,126.957626,0.039,0.0,1,0.03,0.0
1786533933.193,4307,2,2,0,0,1,heartbeat,0,14.73,-1.94,9999.0,25.0,1,table,0.0001,table,1,37.496445,126.957619,0.029,0.0,1,0.046,0.0
1786533939.88,4371,1,1,0,0,1,change,0,4.48,-0.46,9999.0,30.0,1,table,0.0001,table,1,37.496468,126.957619,0.036,0.0,1,0.077,0.0
1786533940.926,4381,1,1,1,0,1,heartbeat,0,4.32,-0.74,9999.0,30.0,1,table,0.0,table,1,37.496471,126.957619,0.037,0.0,1,0.095,0.0
