wall_time,age_sec,kind,risk,node_id,raw_or_json
1782982017.900,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11404, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156010, ""rx_ms"": 2604638, ""recv_count"": 25119, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.980,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25243, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555963, ""rx_ms"": 2604723, ""recv_count"": 25244, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.001,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11405, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156113, ""rx_ms"": 2604735, ""recv_count"": 25120, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.077,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25244, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556064, ""rx_ms"": 2604820, ""recv_count"": 25245, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.097,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11406, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156214, ""rx_ms"": 2604838, ""recv_count"": 25121, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.179,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25245, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556166, ""rx_ms"": 2604922, ""recv_count"": 25246, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.200,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11407, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156314, ""rx_ms"": 2604936, ""recv_count"": 25122, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.282,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25246, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556267, ""rx_ms"": 2605025, ""recv_count"": 25247, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.303,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11408, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156414, ""rx_ms"": 2605038, ""recv_count"": 25123, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.382,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25247, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556368, ""rx_ms"": 2605124, ""recv_count"": 25248, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.402,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11409, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156516, ""rx_ms"": 2605139, ""recv_count"": 25124, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.487,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25248, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556469, ""rx_ms"": 2605229, ""recv_count"": 25249, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.507,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11410, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1156616, ""rx_ms"": 2605241, ""recv_count"": 25125, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.585,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25249, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556570, ""rx_ms"": 2605327, ""recv_count"": 25250, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.605,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11411, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 1156718, ""rx_ms"": 2605341, ""recv_count"": 25126, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982018.684,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25250, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2556671, ""rx_ms"": 2605427, ""recv_count"": 25251, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982018.704,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11412, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 1156819, ""rx_ms"": 2605441, ""recv_count"": 25127, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
