"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782797718.089","802.488","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4171","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4171,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022238,""rx_ms"":7159799,""recv_count"":70288,""lost_count"":64956,""rssi"":-37,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.109","802.508","cane","4125577512","","37.0","127.0","0.0","0.0","20542","{""type"":""cane"",""node_id"":4125577512,""seq"":20542,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081249,""rx_ms"":7159814,""recv_count"":39860,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.190","802.589","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4172","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4172,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022339,""rx_ms"":7159900,""recv_count"":70289,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.211","802.610","cane","4125577512","","37.0","127.0","0.0","0.0","20543","{""type"":""cane"",""node_id"":4125577512,""seq"":20543,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081350,""rx_ms"":7159913,""recv_count"":39861,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.291","802.689","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4173","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4173,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022440,""rx_ms"":7160001,""recv_count"":70290,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.311","802.710","cane","4125577512","","37.0","127.0","0.0","0.0","20544","{""type"":""cane"",""node_id"":4125577512,""seq"":20544,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081451,""rx_ms"":7160016,""recv_count"":39862,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.392","802.790","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4174","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4174,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022541,""rx_ms"":7160102,""recv_count"":70291,""lost_count"":64956,""rssi"":-37,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.412","802.811","cane","4125577512","","37.0","127.0","0.0","0.0","20545","{""type"":""cane"",""node_id"":4125577512,""seq"":20545,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081552,""rx_ms"":7160121,""recv_count"":39863,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.493","802.892","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4175","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4175,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022642,""rx_ms"":7160203,""recv_count"":70292,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.513","802.912","cane","4125577512","","37.0","127.0","0.0","0.0","20546","{""type"":""cane"",""node_id"":4125577512,""seq"":20546,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081653,""rx_ms"":7160215,""recv_count"":39864,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.605","803.004","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4176","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4176,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022744,""rx_ms"":7160315,""recv_count"":70293,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.626","803.025","cane","4125577512","","37.0","127.0","0.0","0.0","20547","{""type"":""cane"",""node_id"":4125577512,""seq"":20547,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081754,""rx_ms"":7160328,""recv_count"":39865,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.697","803.096","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4177","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4177,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022846,""rx_ms"":7160407,""recv_count"":70294,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.717","803.116","cane","4125577512","","37.0","127.0","0.0","0.0","20548","{""type"":""cane"",""node_id"":4125577512,""seq"":20548,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081856,""rx_ms"":7160419,""recv_count"":39866,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.799","803.198","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4178","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4178,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022948,""rx_ms"":7160509,""recv_count"":70295,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.819","803.218","cane","4125577512","","37.0","127.0","0.0","0.0","20549","{""type"":""cane"",""node_id"":4125577512,""seq"":20549,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081957,""rx_ms"":7160521,""recv_count"":39867,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797718.901","803.300","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4179","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4179,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7023050,""rx_ms"":7160611,""recv_count"":70296,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.921","803.320","cane","4125577512","","37.0","127.0","0.0","0.0","20550","{""type"":""cane"",""node_id"":4125577512,""seq"":20550,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2082059,""rx_ms"":7160624,""recv_count"":39868,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797719.003","803.402","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4180","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4180,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7023152,""rx_ms"":7160713,""recv_count"":70297,""lost_count"":64956,""rssi"":-35,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797719.023","803.422","cane","4125577512","","37.0","127.0","0.0","0.0","20551","{""type"":""cane"",""node_id"":4125577512,""seq"":20551,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2082162,""rx_ms"":7160735,""recv_count"":39869,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
