wall_time,elapsed_s,gap_s,type,seq,rssi,distance_m,ttc_s,node_risk,computed_risk,vehicle_risk,cane_risk,final_risk,reason,raw
1782982981.968,2.522,0.076,vehicle,34760,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34760, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000053, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520004, ""rx_ms"": 3568746, ""recv_count"": 34761, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982981.988,2.542,0.020,cane,20922,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20922, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120140, ""rx_ms"": 3568759, ""recv_count"": 34637, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.070,2.624,0.082,vehicle,34761,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34761, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000053, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520106, ""rx_ms"": 3568848, ""recv_count"": 34762, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.090,2.644,0.020,cane,20923,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20923, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120241, ""rx_ms"": 3568861, ""recv_count"": 34638, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.172,2.726,0.082,vehicle,34762,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34762, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000053, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520208, ""rx_ms"": 3568950, ""recv_count"": 34763, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.192,2.746,0.020,cane,20924,-37,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20924, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120343, ""rx_ms"": 3568963, ""recv_count"": 34639, ""lost_count"": 117358, ""rssi"": -37, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.275,2.829,0.083,vehicle,34763,-10,-,-,3,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34763, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 3, ""tx_ms"": 3520310, ""rx_ms"": 3569054, ""recv_count"": 34764, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.296,2.850,0.020,cane,20925,-36,-,-,3,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20925, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 2120448, ""rx_ms"": 3569066, ""recv_count"": 34640, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.375,2.929,0.079,vehicle,34764,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34764, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520411, ""rx_ms"": 3569153, ""recv_count"": 34765, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.395,2.949,0.020,cane,20926,-37,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20926, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120552, ""rx_ms"": 3569174, ""recv_count"": 34641, ""lost_count"": 117358, ""rssi"": -37, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.476,3.030,0.081,vehicle,34765,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34765, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520512, ""rx_ms"": 3569254, ""recv_count"": 34766, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.496,3.050,0.020,cane,20927,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20927, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120653, ""rx_ms"": 3569272, ""recv_count"": 34642, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.578,3.132,0.082,vehicle,34766,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34766, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520614, ""rx_ms"": 3569356, ""recv_count"": 34767, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.598,3.152,0.020,cane,20928,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20928, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120753, ""rx_ms"": 3569372, ""recv_count"": 34643, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.679,3.233,0.081,vehicle,34767,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34767, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520715, ""rx_ms"": 3569457, ""recv_count"": 34768, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.699,3.253,0.020,cane,20929,-38,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20929, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120853, ""rx_ms"": 3569471, ""recv_count"": 34644, ""lost_count"": 117358, ""rssi"": -38, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.780,3.334,0.081,vehicle,34768,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34768, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520816, ""rx_ms"": 3569558, ""recv_count"": 34769, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.800,3.354,0.020,cane,20930,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20930, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2120953, ""rx_ms"": 3569571, ""recv_count"": 34645, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.883,3.437,0.083,vehicle,34769,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34769, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3520918, ""rx_ms"": 3569662, ""recv_count"": 34770, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982982.904,3.458,0.020,cane,20931,-36,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20931, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2121053, ""rx_ms"": 3569674, ""recv_count"": 34646, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982982.983,3.537,0.079,vehicle,34770,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34770, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 270.0, ""node_risk"": 0, ""tx_ms"": 3521019, ""rx_ms"": 3569761, ""recv_count"": 34771, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982983.003,3.557,0.020,cane,20932,-37,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20932, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2121157, ""rx_ms"": 3569775, ""recv_count"": 34647, ""lost_count"": 117358, ""rssi"": -37, ""src_mac"": ""30:76:F5:E7:51:28""}"
