rx_wall,node_id,distance_m,closing_mps,ttc_s,risk_level,reason,sent
1782723644.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.023,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723645.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.423,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723646.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.824,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723647.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.324,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723648.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723649.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.123,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.420,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.520,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.725,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723650.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
