ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,risk_level
20000,3600,1400,3639.0,1404.89,1.2,6.5,39.3053698621448,5.3,7.416107521159397,0
20000,3600,1400,3609.68,1455.16,1.2,10.69,56.00292849485646,9.49,5.901256954147151,0
20000,3600,1400,3673.35,1335.43,1.2,9.3,97.72158103510183,8.100000000000001,12.06439272038294,0
20000,3600,1400,3926.58,1311.31,1.2,14.18,338.40864720039286,12.98,26.07154446844321,0
20000,3600,1400,3731.19,1404.45,1.2,14.99,131.26545090007505,13.79,9.5188869398169,0
20000,3600,1400,3628.33,1333.57,1.2,5.76,72.21865271520927,4.56,15.837423841054667,0
20000,3600,1400,3491.8,1564.85,1.2,10.03,197.1871255939392,8.83,22.331497802258117,0
20000,3600,1400,3709.15,1360.43,1.2,10.31,116.10128078535574,9.11,12.744377693233343,0
20000,3600,1400,3578.89,1431.01,1.2,8.98,37.51336028670325,7.78,4.821768674383451,0
20000,3600,1400,3695.11,1328.45,1.2,3.9,119.0181271907772,2.7,44.080787848435996,0
20000,3600,1400,3747.39,1397.85,1.2,0.0,147.40568035187778,-1.2,9999.0,0
20000,3600,1400,3814.17,994.19,1.2,18.12,458.85787015153176,16.92,27.11925946522055,0
20000,3600,1400,3644.8,1406.46,1.2,0.0,45.26335824925076,-1.2,9999.0,0
20000,3600,1400,3685.93,1359.04,1.2,8.86,95.19289101608362,7.659999999999999,12.42727036763494,0
20000,3600,1400,3464.52,1372.01,1.2,2.84,138.34113813323933,1.64,84.35435252026788,0
20000,3600,1400,3534.86,1594.94,1.2,5.91,205.53545484903572,4.71,43.638100817205036,0
20000,3600,1400,3590.9,1471.55,1.2,5.0,72.12636480511127,3.8,18.980622317134543,0
20000,3600,1400,3641.62,1415.78,1.2,7.16,44.51104132684373,5.96,7.46829552463821,0
20000,3600,1400,3533.54,1499.69,1.2,12.5,119.81246888366844,11.3,10.60287335253703,0
20000,3600,1400,3510.15,1536.05,1.2,11.21,163.0417891216849,10.010000000000002,16.28789102114734,0
21000,3600,1400,3643.07,1403.31,1.2,4.36,43.19700221080178,3.16,13.669937408481575,0
21000,3600,1400,3617.11,1444.16,1.2,13.27,47.35881860857607,12.07,3.923680083560569,0
21000,3600,1400,3678.66,1338.5,1.2,6.14,99.84811265116622,4.94,20.212168552867652,0
21000,3600,1400,3939.68,1308.5,1.2,13.39,351.7879366891365,12.19,28.858731475728998,0
21000,3600,1400,3747.32,1401.14,1.2,16.43,147.3244107403795,15.23,9.673303397267203,0
21000,3600,1400,3635.87,1333.21,1.2,7.76,75.81267044498556,6.56,11.556809519052678,0
21000,3600,1400,3498.2,1554.8,1.2,11.92,185.27352752079835,10.72,17.282978313507307,0
21000,3600,1400,3702.05,1356.3,1.2,8.22,111.013028514675,7.0200000000000005,15.813821725737178,0
21000,3600,1400,3583.82,1421.34,1.2,10.92,26.780365942234457,9.72,2.7551816812998413,1
21000,3600,1400,3698.37,1323.47,1.2,5.95,124.633453775461,4.75,26.238621847465474,0
21000,3600,1400,3749.81,1397.36,1.2,2.47,149.83325965886206,1.2700000000000002,117.97894461327719,0
21000,3600,1400,3811.24,980.84,1.2,13.62,469.3798495887951,12.42,37.792258420997996,0
21000,3600,1400,3643.0,1409.11,1.2,0.0,43.954432085968286,-1.2,9999.0,0
21000,3600,1400,3839.06,1388.82,1.2,0.0,239.32128196213557,-1.2,9999.0,0
21000,3600,1400,3679.92,1367.34,1.2,10.24,86.33586740167736,9.04,9.550427809920063,0
21000,3600,1400,3467.56,1372.78,1.2,3.43,135.20829116588973,2.2300000000000004,60.631520702192695,0
21000,3600,1400,3530.45,1598.28,1.2,5.72,210.1241559174005,4.52,46.48764511446914,0
21000,3600,1400,3597.76,1467.11,1.2,7.52,67.14737299403444,6.319999999999999,10.624584334499122,0
21000,3600,1400,3639.32,1414.35,1.2,2.66,41.856718696047,1.4600000000000002,28.668985408251363,0
21000,3600,1400,3540.47,1489.68,1.2,12.18,107.63978493103762,10.98,9.803259101187397,0
21000,3600,1400,3516.07,1526.75,1.2,11.02,152.01910208917818,9.82,15.480560294213664,0
22000,3600,1400,3641.99,1400.21,1.2,1.01,41.990525121746,-0.1899999999999999,9999.0,0
22000,3600,1400,3625.77,1431.33,1.2,15.48,40.56675732665842,14.28,2.8408093366007297,0
22000,3600,1400,3684.35,1340.84,1.2,6.27,103.02828786309124,5.069999999999999,20.321161314219182,0
22000,3600,1400,3953.14,1305.61,1.2,13.77,365.53704559182495,12.57,29.08011500332736,0
22000,3600,1400,3765.13,1397.47,1.2,18.19,165.14938025920665,16.990000000000002,9.720387301895624,0
22000,3600,1400,3640.37,1339.44,1.2,8.13,72.7822127995569,6.930000000000001,10.50248380945987,0
22000,3600,1400,3505.08,1544.01,1.2,12.8,172.47807541829775,11.6,14.868799605025668,0
22000,3600,1400,3698.13,1354.02,1.2,4.54,108.36815630064038,3.34,32.44555577863485,0
22000,3600,1400,3586.94,1409.92,1.2,11.9,16.400304875214974,10.7,1.5327387733845772,1
22000,3600,1400,3702.6,1316.98,1.2,7.74,131.9813638359597,6.54,20.180636672165093,0
22000,3600,1400,3753.72,1396.55,1.2,3.99,153.75870999718987,2.79,55.110648744512496,0
22000,3600,1400,3810.24,971.75,1.2,9.12,477.0732858796433,7.919999999999999,60.23652599490447,0
22000,3600,1400,3643.49,1410.79,1.2,1.79,44.80852820613482,0.5900000000000001,75.94665797649968,0
22000,3600,1400,3837.36,1389.17,1.2,1.73,237.60694118648988,0.53,448.3149833707356,0
22000,3600,1400,3630.27,1181.2,1.2,0.0,220.8839353597268,-1.2,9999.0,0
22000,3600,1400,3672.92,1377.0,1.2,11.93,76.46127385807806,10.73,7.125934189942037,0
22000,3600,1400,3471.19,1376.3,1.2,5.06,130.9721577282744,3.86,33.930610810433784,0
22000,3600,1400,3526.45,1604.6,1.2,7.47,217.4184042347841,6.27,34.67598153664819,0
22000,3600,1400,3605.38,1461.53,1.2,8.89,61.76475775067848,7.69,8.031828056005002,0
22000,3600,1400,3639.32,1414.35,1.2,0.0,41.856718696047,-1.2,9999.0,0
22000,3600,1400,3547.54,1479.51,1.2,12.39,95.25697717227858,11.19,8.512687861687095,0
22000,3600,1400,3521.82,1517.72,1.2,10.7,141.31564244626276,9.5,14.875330783817132,0
23000,3600,1400,3640.67,1397.27,1.2,0.23,40.76152352402945,-0.97,9999.0,0
23000,3600,1400,3631.92,1422.21,1.2,10.98,38.88663652207537,9.78,3.9761387036886884,0
23000,3600,1400,3689.32,1337.32,1.2,6.4,109.11848972561909,5.2,20.984324947234438,0
23000,3600,1400,3966.4,1302.76,1.2,13.57,379.0838661826695,12.37,30.64542168008646,0
23000,3600,1400,3784.85,1393.42,1.2,20.13,184.96707517825968,18.93,9.771108038999454,0
23000,3600,1400,3641.85,1348.02,1.2,8.71,66.73337171161063,7.510000000000001,8.885934981572653,0
23000,3600,1400,3512.02,1533.12,1.2,12.92,159.56633354188463,11.72,13.614874875587425,0
23000,3600,1400,3692.22,1352.67,1.2,6.27,103.65643877733768,5.069999999999999,20.44505695805477,0
23000,3600,1400,3587.2,1398.81,1.2,11.13,12.855197392494787,9.93,1.29458181193301,1
