pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787710451.436,365,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.096,0.0,1,37.496559,126.957619,0.039,0.0,-0.79,6.34,gps
1787710451.659,367,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.086,0.0,1,37.496559,126.957619,0.039,0.0,-0.79,6.34,gps
1787710451.875,369,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.068,0.0,1,37.496559,126.957619,0.039,0.0,-0.79,6.34,gps
1787710452.097,371,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.059,0.0,1,37.496559,126.957619,0.039,0.0,-0.79,6.34,gps
1787710452.307,373,0,0,0,0,1,heartbeat,0,6.18,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.051,0.0,1,37.496559,126.957619,0.061,0.0,-0.82,6.13,gps
1787710452.519,375,0,0,0,0,1,heartbeat,0,6.19,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.047,0.0,1,37.496559,126.957619,0.061,0.0,-0.82,6.13,gps
1787710452.729,377,0,0,0,0,1,heartbeat,0,6.19,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.033,0.0,1,37.496559,126.957619,0.061,0.0,-0.82,6.13,gps
1787710452.933,379,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.061,0.0,-0.82,6.14,gps
1787710453.153,381,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.038,0.0,-0.82,6.13,gps
1787710453.363,383,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.038,0.0,-0.82,6.13,gps
1787710453.58,385,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.038,0.0,-0.82,6.13,gps
1787710453.796,387,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.038,0.0,-0.82,6.13,gps
1787710453.999,389,0,0,0,0,1,heartbeat,0,6.19,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496532,126.957634,0.025,0.0,1,37.496559,126.957619,0.038,0.0,-0.82,6.13,gps
