pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786933754.133,9103,0,0,0,0,1,heartbeat,0,62.49,-1.7,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496456,126.957642,0.105,0.0,1,37.495872,126.957214,1.708,209.56,-39.07,-48.77
1786933755.197,9113,0,0,0,0,1,heartbeat,0,65.86,-1.87,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496464,126.957657,0.156,0.0,1,37.495865,126.957207,1.878,211.26,-40.01,-52.32
1786933756.245,9122,0,0,0,0,1,heartbeat,0,68.89,-2.01,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496475,126.957664,0.192,0.0,1,37.495865,126.957207,2.01,215.28,-41.03,-55.35
1786933757.26,9132,0,0,0,0,1,heartbeat,0,71.55,-1.89,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.49649,126.957672,0.169,0.0,1,37.495865,126.957207,1.891,215.76,-41.93,-57.98
1786933758.353,9143,0,0,0,0,1,heartbeat,0,74.23,-1.82,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496494,126.95768,0.047,0.0,1,37.495865,126.957199,1.83,215.14,-42.92,-60.56
1786933759.388,9152,0,0,0,0,1,heartbeat,0,76.05,-1.81,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496494,126.95768,0.065,0.0,1,37.495857,126.957199,1.831,215.11,-43.52,-62.37
1786933760.462,9163,0,0,0,0,1,heartbeat,0,78.55,-1.82,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496498,126.957687,0.218,0.0,1,37.49585,126.957184,1.849,216.06,-44.58,-64.68
1786933761.517,9173,0,0,0,0,1,heartbeat,0,80.34,-1.78,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496502,126.957695,0.128,0.0,1,37.495842,126.957176,1.791,217.11,-45.39,-66.29
1786933762.548,9182,0,0,0,0,1,heartbeat,0,81.73,-1.52,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496502,126.957703,0.059,0.0,1,37.495846,126.957176,1.507,214.44,-46.02,-67.54
1786933763.56,9192,0,0,0,0,1,heartbeat,0,82.72,-1.33,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496506,126.95771,0.617,0.0,1,37.49585,126.957184,1.278,211.52,-46.35,-68.52
1786933764.572,9202,0,0,0,0,1,heartbeat,0,84.73,-1.21,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496521,126.957703,0.238,0.0,1,37.49585,126.957184,1.231,210.96,-46.9,-70.56
1786933765.626,9212,0,0,0,0,1,heartbeat,0,86.36,-1.24,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496532,126.957687,0.384,0.0,1,37.495842,126.957176,1.27,211.85,-47.19,-72.33
